Item,Category,Brand,Supplier,UnitCost
Keyboard Model 115,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 116,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 117,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 118,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 119,Electronics,BrandB,SupplierX,10.01
Mouse Model 120,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 121,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 122,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 123,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 124,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 125,Electronics,BrandB,SupplierX,10.01
Mouse Model 126,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 127,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 128,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 129,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 130,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 131,Electronics,BrandB,SupplierX,10.01
Mouse Model 132,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 133,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 134,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 135,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 136,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 137,Electronics,BrandB,SupplierX,10.01
Mouse Model 138,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 139,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 140,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 141,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 142,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 143,Electronics,BrandB,SupplierX,10.01
Mouse Model 144,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 145,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 146,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 147,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 148,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 149,Electronics,BrandB,SupplierX,10.01
Mouse Model 150,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 151,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 152,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 153,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 154,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 155,Electronics,BrandB,SupplierX,10.01
Mouse Model 156,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 157,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 158,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 159,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 160,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 161,Electronics,BrandB,SupplierX,10.01
Mouse Model 162,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 163,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 164,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 165,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 166,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 167,Electronics,BrandB,SupplierX,10.01
Mouse Model 168,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 169,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 170,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 171,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 172,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 173,Electronics,BrandB,SupplierX,10.01
Mouse Model 174,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 175,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 176,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 177,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 178,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 179,Electronics,BrandB,SupplierX,10.01
Mouse Model 180,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 181,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 182,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 183,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 184,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 185,Electronics,BrandB,SupplierX,10.01
Mouse Model 186,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 187,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 188,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 189,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 190,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 191,Electronics,BrandB,SupplierX,10.01
Mouse Model 192,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 193,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 194,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 195,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 196,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 197,Electronics,BrandB,SupplierX,10.01
Mouse Model 198,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 199,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 200,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 201,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 202,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 203,Electronics,BrandB,SupplierX,10.01
Mouse Model 204,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 205,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 206,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 207,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 208,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 209,Electronics,BrandB,SupplierX,10.01
Mouse Model 210,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 211,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 212,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 213,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 214,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 215,Electronics,BrandB,SupplierX,10.01
Mouse Model 216,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 217,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 218,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 219,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 220,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 221,Electronics,BrandB,SupplierX,10.01
Mouse Model 222,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 223,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 224,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 225,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 226,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 227,Electronics,BrandB,SupplierX,10.01
Mouse Model 228,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 229,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 230,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 231,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 232,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 233,Electronics,BrandB,SupplierX,10.01
Mouse Model 234,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 235,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 236,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 237,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 238,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 239,Electronics,BrandB,SupplierX,10.01
Mouse Model 240,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 241,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 242,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 243,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 244,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 245,Electronics,BrandB,SupplierX,10.01
Mouse Model 246,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 247,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 248,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 249,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 250,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 251,Electronics,BrandB,SupplierX,10.01
Mouse Model 252,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 253,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 254,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 255,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 256,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 257,Electronics,BrandB,SupplierX,10.01
Mouse Model 258,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 259,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 260,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 261,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 262,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 263,Electronics,BrandB,SupplierX,10.01
Mouse Model 264,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 265,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 266,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 267,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 268,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 269,Electronics,BrandB,SupplierX,10.01
Mouse Model 270,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 271,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 272,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 273,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 274,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 275,Electronics,BrandB,SupplierX,10.01
Mouse Model 276,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 277,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 278,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 279,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 280,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 281,Electronics,BrandB,SupplierX,10.01
Mouse Model 282,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 283,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 284,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 285,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 286,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 287,Electronics,BrandB,SupplierX,10.01
Mouse Model 288,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 289,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 290,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 291,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 292,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 293,Electronics,BrandB,SupplierX,10.01
Mouse Model 294,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 295,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 296,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 297,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 298,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 299,Electronics,BrandB,SupplierX,10.01
Mouse Model 300,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 301,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 302,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 303,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 304,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 305,Electronics,BrandB,SupplierX,10.01
Mouse Model 306,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 307,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 308,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 309,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 310,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 311,Electronics,BrandB,SupplierX,10.01
Mouse Model 312,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 313,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 314,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 315,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 316,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 317,Electronics,BrandB,SupplierX,10.01
Mouse Model 318,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 319,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 320,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 321,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 322,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 323,Electronics,BrandB,SupplierX,10.01
Mouse Model 324,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 325,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 326,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 327,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 328,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 329,Electronics,BrandB,SupplierX,10.01
Mouse Model 330,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 331,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 332,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 333,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 334,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 335,Electronics,BrandB,SupplierX,10.01
Mouse Model 336,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 337,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 338,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 339,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 340,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 341,Electronics,BrandB,SupplierX,10.01
Mouse Model 342,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 343,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 344,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 345,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 346,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 347,Electronics,BrandB,SupplierX,10.01
Mouse Model 348,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 349,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 350,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 351,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 352,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 353,Electronics,BrandB,SupplierX,10.01
Mouse Model 354,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 355,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 356,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 357,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 358,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 359,Electronics,BrandB,SupplierX,10.01
Mouse Model 360,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 361,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 362,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 363,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 364,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 365,Electronics,BrandB,SupplierX,10.01
Mouse Model 366,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 367,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 368,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 369,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 370,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 371,Electronics,BrandB,SupplierX,10.01
Mouse Model 372,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 373,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 374,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 375,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 376,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 377,Electronics,BrandB,SupplierX,10.01
Mouse Model 378,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 379,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 380,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 381,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 382,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 383,Electronics,BrandB,SupplierX,10.01
Mouse Model 384,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 385,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 386,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 387,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 388,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 389,Electronics,BrandB,SupplierX,10.01
Mouse Model 390,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 391,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 392,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 393,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 394,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 395,Electronics,BrandB,SupplierX,10.01
Mouse Model 396,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 397,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 398,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 399,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 400,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 401,Electronics,BrandB,SupplierX,10.01
Mouse Model 402,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 403,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 404,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 405,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 406,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 407,Electronics,BrandB,SupplierX,10.01
Mouse Model 408,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 409,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 410,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 411,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 412,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 413,Electronics,BrandB,SupplierX,10.01
Mouse Model 414,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 415,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 416,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 417,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 418,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 419,Electronics,BrandB,SupplierX,10.01
Mouse Model 420,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 421,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 422,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 423,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 424,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 425,Electronics,BrandB,SupplierX,10.01
Mouse Model 426,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 427,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 428,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 429,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 430,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 431,Electronics,BrandB,SupplierX,10.01
Mouse Model 432,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 433,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 434,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 435,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 436,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 437,Electronics,BrandB,SupplierX,10.01
Mouse Model 438,Office Supplies,BrandD,SupplierZ,148.41
Keyboard Model 439,Home Appliances,BrandB,SupplierY,218.36
Smartphone Model 440,Office Supplies,BrandA,SupplierX,28.41
Tablet Model 441,Home Appliances,BrandD,SupplierX,72.65
Laptop Model 442,Office Supplies,BrandD,SupplierZ,385.12
Monitor Model 443,Electronics,BrandB,SupplierX,10.01
Mouse Model 444,Office Supplies,BrandD,SupplierZ,148.41
